jobTitle,descriptionShort,Tech Stack,Key Phrases,Bag of Words,Document,Topic,Name,Category,Representative_document
Senior Scientist,"At Element Biosciences, we are passionate about our mission to empower the scientific community with more freedom and flexibility to accelerate our collective impact on humanity. We have built a highly efficient product-driven organization where employees can learn, grow, and thrive in a challenging but encouraging environment. We are committed to scientific integrity, collegiality, honesty, objectivity, and openness. We are seeking an experienced Senior Scientist who will play a pivotal role in designing, optimizing and validating reagents for next-generation sequencing. This is an incredible opportunity for someone who is passionate about working cross-functionally in enzymology, biochemistry, and chemistry within NGS. We are looking for candidates with a solid background in molecular biology, biochemistry, photochemistry, or other related studies. Experience with experimental design, hands-on lab work, and data analysis is a must. This role will be a based role. If you possess the following and want to make a meaningful impact, we invite you to explore this role. Essential Functions and Responsibilities: Development, optimization, and validation of workflows and reagents for next-generation sequencing applications to ensure high performance, specificity, and reproducibility. Experimental design and execution of complex screens and DOE. Expand and improve upon the core knowledge around companys sequencing chemistry. Operation of next-generation sequencers and sequencing data analysis. Work collaboratively and cross-functionally with other Research and Development teams, Manufacturing, and Quality Control to ensure integration of reagents into the NGS workflow. Propose and implement innovative and creative solutions to enhance product performance. Maintain detailed and accurate documentation of experimental procedures, results, and protocols. Prepare technical reports and present results to those within and outside of the department. Education and Experience: Ph.D. or equivalent in Molecular Biology, Biochemistry, Biophysics, or related field. Minimum of hands-on experience in reagent development or related field. Proficiency in molecular biology techniques, including PCR and qPCR. Strong analytical and problem-solving skills. Experience with fluorescence microscopy is a plus. Experience with NGS is a plus. Ability to communicate and collaborate with others. Ability to work in a dynamic environment. Physical Requirements: Must be able to remain in a stationary position of the time. Frequently moves boxes weighing up to 20 pounds. Location: , CA Travel: N A Job Type: Full-time More Information on Element Biosciences",,community scientist biochemistry molecular biology biochemistry data analysis development optimization performance operation data analysis research development performance technical molecular biology biochemistry development proficiency molecular biology skill time,passionate mission scientific community impact highly organization employee learn grow committed scientific seeking senior scientist role passionate working biochemistry within looking candidate background molecular biology biochemistry related experience design hands-on data analysis must role based role following want make impact role essential function responsibility development optimization application ensure high performance design complex improve core knowledge around company operation data analysis research development team quality control ensure implement innovative creative solution product performance maintain documentation result technical report present result within education experience equivalent molecular biology biochemistry related field minimum hands-on experience development related field proficiency molecular biology technique including strong analytical problem-solving skill experience plus experience plus ability communicate collaborate others ability dynamic requirement must able position time location job information,community scientist biochemistry molecular biology biochemistry data analysis development optimization performance operation data analysis research development performance technical molecular biology biochemistry development proficiency molecular biology skill time,0,0_cell_clinical_gene_bioinformatics,cell clinical gene bioinformatics,False
Data Scientist Finance,"About Us: Live experiences help people cross todays digital divide and focus on what truly connects us the here, the new, this once-in-a-lifetime moment thats bringing us together. To fulfill Gametimes mission of uniting the world through shared experiences, we make it easy for people to discover and access the live experiences that matter most. With platforms on iOS, Android, mobile web and desktop supporting events across the and , we are reimagining the event ticket industry in order to move at the speed of life. The Role: We are looking for an organized, data-driven, and curious team player to work cross-functionally across the data, product, marketing, finance, and operations teams. As a data scientist, you will support and inform various functions throughout the company to solve business-critical issues, specifically related to our product, features, etc. You will dive into user behavior data to provide insights which will impact major business decisions and own the maintenance of Gametimes business intelligence reporting. The ideal candidate will be able to thrive in a fast-paced environment and be able to adapt to changes within the business and the industry. What you'll do: Provide insight into critical business decisions, working closely with the executive team to answer pressing issues. Leverage analytics and quantitative methods to inform and influence decision-making through financial forecasting and opportunity sizing. Analyze buyer and supplier behavior data and funnel metrics, generating recommendations for finance and business functions. Analyze company profitability and reconcile financial reporting across various systems. Maintain and improve Gametimes business intelligence reporting infrastructure. Influence and build relationships with people across all levels of the organization, internally and externally. Contribute to Business Analytics Data Layer and interface with the Data Engineering team Our ideal candidate has: of Data Analyst experience, ideally at a marketplace and technology company. Proficient in SQL. Ability to identify, analyze, and provide recommendations to complex business decisions. Solid understanding of statistical analysis and experimentation, and capacity to drive conclusions from the analysis. Ability to work across disparate data sources to obtain sensible results. Strong collaboration and communication skills. Embodies proactive and Always be Curious mindset. Strong problem-solving skills. Some experience with Python or R. Experience with data visualization software. Experience with A-B testing is a plus. What we can offer: Flexible PTO EquityWFH stipend home office setup grant mo in Gametime creditsWellness programs Tenure recognition",python sql,digital world life data-driven data operation data scientist data insight decision insight decision analytics quantitative financial forecasting analyze data recommendation analyze financial system analytics data data engineering data analyze recommendation decision analysis analysis data communication skill skill data visualization software a-b testing recognition,u experience help people digital focus u new u together mission world experience make people access experience platform supporting across industry life role looking data-driven team across data product marketing operation team data scientist support various function company solve issue related product user data provide insight impact business decision business intelligence reporting ideal candidate able fast-paced able change within business industry provide insight critical business decision working closely team issue leverage analytics quantitative method financial forecasting analyze data metric recommendation business function analyze company financial reporting across various system maintain improve business intelligence reporting build relationship people across level organization contribute business analytics data data engineering team ideal candidate data analyst experience technology company sql ability identify analyze provide recommendation complex business decision understanding statistical analysis drive analysis ability across data source result strong collaboration communication skill strong problem-solving skill experience python experience data visualization software experience a-b testing plus offer flexible office program recognition,digital world life data-driven data operation data scientist data insight decision insight decision analytics quantitative financial forecasting analyze data recommendation analyze financial system analytics data data engineering data analyze recommendation decision analysis analysis data communication skill skill data visualization software a-b testing recognition,10,10_recommendation_market_operation_datadriven,recommendation market operation datadriven,False
Air Quality Modeling Scientist,"PSE Healthy Energy is seeking a full-time air quality modeling scientist to assist and collaborate with PSE scientists and senior scientists in evaluations of how energy choices impact outdoor and indoor air quality and public health. Energy systems of interest include but are not limited to oil and gas and petrochemical sectors, electricity transmission and distribution, gas- and coal-fired power generation, carbon management, and the integration of multiple cleaner energy technologies in energy transitions. Strong candidates will have demonstrated experience in using prognostic meteorological models, chemical-transport models, and conducting research at the science-policy interface, and topical knowledge on emissions, air quality, and the health and climate dimensions of energy production and use. The position requires creativity, initiative, independent work, and collaboration while thinking strategically about complex scientific research and issues related to energy and energy policy, renewable energy, public health, and the environment. It is not expected that a single candidate will have expertise across all these areas- were seeking candidates who are particularly strong in a few areas and have some interest and capabilities in others. ROLES and RESPONSIBILITIES Air Quality Modeling: Develop and apply air quality and meteorology modeling tools across a wide range of topics and applications and validate and interpret model results Data Analysis: Manage large atmospheric datasets, including data extraction, organization, cleaning, analysis, and interpretation Other Skills: Assist in conducting peer-reviewed research, consulting projects and developing rigorous science to inform policy and other decision-making processes REQUIRED SKILLS In addition to an ability to meet the above responsibilities, the ideal candidate will possess: A masters with of demonstrated work experience or doctoral degree in atmospheric science or chemistry, engineering, physical or environmental science, environmental health, computer science, data science, or related fields Understanding of atmospheric processes related to air pollution Experience using meteorological and chemical-transport models e.g., WRF, WRF-Chem, WRF-CMAQ Experience using emissions processors e.g., SMOKE and developing inventories Advanced proficiency in scientific programming languages e.g., R, python Experience working in a Linux Unix computing environment and shell scripting Experience compiling and working with, cleaning, managing, and interpreting large atmospheric datasets and conducting statistical analysis Excellent writing and communication skills Ability to pivot from strong analytical and data-driven thinking to highly creative and strategic thinking Capable of engaging on multiple projects and prioritizing effectively Able to productively provide and receive feedback A proven record of being able to work collaboratively and independently Scientific and moral integrity Attention to detail and a desire to learn A sense of humor DESIRED SKILLS Experience working at the science-policy interface and or community-based research Experience conducting health risk or impact assessments Experience with cloud computing platforms e.g., Amazon Web Services Experience using reduced-form models e.g., COBRA, InMAP Knowledge of petroleum refineries, biofuels, and petrochemical facilities Knowledge of the health hazards, risks, and impacts of air pollution Demonstrated experience running and interpreting dispersion models e.g., gaussian plume models, AERMOD Demonstrated experience evaluating the air quality impacts of point sources Experience with software best practices and version control e.g., Github Experience developing web-based data visualizations Experience with geographic or mapping software e.g., ArcGIS Experience with Google Workspace Gmail, Google Docs, etc. Familiarity with Slack LOCATION , . Remote locations will also be considered. TO APPLY Please submit a resume or CV, provide a cover letter -OR- responses to the question prompts in the online application by . Applications received by will be given priority review. E-VERIFY NOTICE",github python r,energy scientist scientist scientist energy health energy system management energy energy model model research health energy production research energy energy energy health develop range model data analysis data analysis skill research science skill degree science engineering environmental science environmental health computer science data science model inventory proficiency analysis communication skill data-driven strategic skill research health risk cloud service model health risk model model software github data visualization software online,energy seeking quality modeling scientist assist collaborate scientist senior scientist energy impact quality health energy system include power management multiple energy technology energy strong candidate demonstrated experience using model model research knowledge quality health energy production use position initiative collaboration complex scientific research issue related energy energy policy energy health candidate expertise across seeking candidate strong area capability others role responsibility quality modeling develop apply quality modeling tool across range application model result data analysis manage large datasets including data organization analysis skill assist research project developing science policy process required skill ability meet responsibility ideal candidate master demonstrated experience degree science engineering environmental science environmental health computer science data science related field understanding process related experience using model . experience using . developing inventory advanced proficiency scientific programming language . r python experience working experience working large datasets statistical analysis excellent communication skill ability strong analytical data-driven highly creative strategic multiple project effectively able provide proven record able independently scientific detail learn skill experience working research experience health risk impact experience cloud platform . service experience using model . knowledge knowledge health risk impact demonstrated experience model . model demonstrated experience quality impact source experience software best practice control . github experience developing data visualization experience software . experience familiarity location remote location apply please provide online application review,energy scientist scientist scientist energy health energy system management energy energy model model research health energy production research energy energy energy health develop range model data analysis data analysis skill research science skill degree science engineering environmental science environmental health computer science data science model inventory proficiency analysis communication skill data-driven strategic skill research health risk cloud service model health risk model model software github data visualization software online,7,7_environmental_water_estimate_system,environmental water estimate system,False
Data Scientist,"We are interested in every qualified candidate who is eligible to work in . However, we are not able to sponsor visas or take over sponsorship at this time. About the role: As an Analyst or Data Scientist, you will be one of Enova's most valuable team members. You will develop, enhance and test our models for use in determining the appropriate lending criteria and verification procedures. At times, you may be asked to conduct ad hoc analysis using statistical and financial tools to recommend for risk management, marketing and operational strategies. You will demonstrate the ability to interpret and organize data, and communicate it effectively to cross functional teams to solve business problems, provide requirements and support implementation. Enova's Analytics team consists of quantitative professionals dedicated to using the latest cutting-edge techniques to drive business value. We are a shared service for the entire company and operate in core Analytics workgroups. We are language agnostic, but primarily use Python, R, SQL, SAS and Mathematica. That means YOU get to pick the tool that works best for you and the analysis at hand. At Enova we have a company-wide culture that emphasizes data-driven analysis. That means you spend less time presenting and more time with the fun part, crunching data! Requirements: of experience in Analytics or related field Advanced programming skills and the ability to write customized programs for meaningful data analysis Python, R Experience working with relational databases, such as SQL Knowledge of statistical econometric modeling A Bachelor's degree in a quantitative field or equivalent experience BI-Hybrid LI-Hybrid Flexible work schedule In-office T W Th and remote M F for hybrid-eligible roles401k matching plus a roth option Based employees onlySabbatical program for eligible roles Summer hours for eligible roles Paid parental leave DEI groups B.L.A.C.K. Enova, HOLA Enova, Women Enova, Pride , South Asians Enova, APEX Enova, and Parents Enova Employee recognition and rewards program Charitable matching and a paid volunteer dayPlus so much more! About Enova Enova International is a leading financial technology company that provides online financial services through our AI and machine learning-powered Colossusplatform. We serve non-prime consumers and businesses alike, while offering world-class technology and services to traditional banksin order to create accessible credit for . Being a values-driven organization is at the core of Enovas success. We live our values by listening to our customers, challenging assumptions, thinking big, setting high expectations, and hiring and developing the best. Through our values and our commitment to making Enova an awesome place to work, we maintain an environment of inclusion and culture where our employees can thrive. You can learn more about Enovas values and culture here.",python r sql,time data scientist develop model time analysis financial recommend risk management data functional analytics quantitative service analytics analysis data-driven analysis time time data analytics skill data analysis degree quantitative recognition financial online financial service ai machine service credit,every candidate able take time role analyst data scientist one team member develop test model use time may conduct analysis using statistical financial tool recommend risk management marketing strategy ability data communicate effectively functional team solve business problem provide requirement support implementation analytics team quantitative professional using technique drive business value service company core analytics language use python r sql get tool best analysis culture data-driven analysis time time part data requirement experience analytics related field advanced programming skill ability program data analysis python r experience working database sql knowledge statistical modeling bachelor degree quantitative field equivalent experience flexible remote plus based employee program role role paid leave group employee recognition program paid leading financial technology company online financial service ai machine serve business technology service create credit organization core success value customer big high developing best value making maintain culture employee learn value culture,time data scientist develop model time analysis financial recommend risk management data functional analytics quantitative service analytics analysis data-driven analysis time time data analytics skill data analysis degree quantitative recognition financial online financial service ai machine service credit,10,10_recommendation_market_operation_datadriven,recommendation market operation datadriven,False
Marketing Data Research Specialist,"Company Overview AdCellerant is an award-winning tech-enabled services company that has brought Madison Avenue-level digital marketing solutions to Main Street businesses since . We help local marketers, media companies, agencies, and channel sales organizations leverage our proprietary advertising software platform, Ui.Marketing. Summary of Role: As a Marketing Data Research Specialist at AdCellerant, you will gather and analyze data to help drive marketing strategies and optimize campaign performance. You will work closely with the marketing team to provide insights and recommendations based on research and data analysis. The ideal candidate should have a strong background in data analysis and market research and possess excellent communication skills to communicate findings and recommendations to stakeholders effectively. Responsibilities: Collect, analyze, and interpret data from various sources to identify patterns, trends, and opportunities for optimization. Conduct market research to identify industry trends, customer behavior, and competitor analysis. This includes gathering data from surveys, focus groups, and other primary and secondary sources. Provide insights and recommendations based on data analysis and market research to inform marketing strategies and optimize campaign performance. Develop dashboards to track and visualize KPIs and campaign performance. Communicate results to stakeholders through regular reporting. Assist with executing A-B testing campaigns to identify and optimize messaging, audience targeting, and ad creative variables. Ensure data hygiene and quality control by monitoring data sources, validating data accuracy, and identifying data gaps. Collaborate with cross-functional teams, including marketing, sales, and product, to ensure alignment on marketing initiatives and data-driven decision-making. Other duties as needed Location Information: This role is preferred to be located near our , CO office, with hybrid work from home flexibility. Our HQ is in , . Our fun, downtown location is open for those who wish to work in the office, set visitor meetings, and collaborate with coworkers in person. Office perks include a dog friendly policy, snacks for all healthy options and vegan options available, beverages, and an open floor plan where team members can book a desk any time. Team members must live and work in territories excluded, and have access to reliable, high-speed internet. AdCellerant offers full-time employees: Paid vacation, holidays, and sick days401k retirement plan and company match contribution Generous paid parental leave Wellness Program Work from home flexibility , CO headquarters available for hybrid work with in office perks Life at AdCellerant: Our top priority is our team above everything else. We set out to build a great workplace, followed by a great company. We know that if our team is motivated, all the companys business objectives can be achieved. Our goal of team since our founding has led to being recognized in a few ways we are proud of: Denver Business Journal Best Workplace Built In Colorados Best Workplaces , , Inc. 5000 Award for Fastest Growing Companies in the , running: Those who join our team join the ranks of an engaged, lively, industry-leading team! We are united in our mission to make Madison Avenue-level digital advertising solutions available to Main Street marketers, and youll find our main Pillars woven throughout everything we do. AdCellerants Pillars: Driving results for partners local businesses Technology innovations to stay ahead of the curve Our team members success well being Exceptional customer service for every single partner Conducting our business in an ethical sustainable way Making our local community a better place Other Requirements: Currently legally authorized to work in on a full-time basis. Important: Security Notice: We're excited that you're interested in exploring job opportunities with AdCellerant! However, we also want to remind you to be cautious and wary of recruitment scams that have become increasingly common across all industries. We take your safety and privacy seriously, and want to assure you that we will never ask for your financial information during any part of the interview process. Our communication will always come from an careers.adcellerant.com or adcellerant.com domain. If you receive any suspicious activity, please stop communication with the individual and consider reporting them to the FBI Internet Crime Complaint Center. If you're unsure about the legitimacy of an email you received from our recruiting team, please forward it to us at email protected Please do not send resumes via email Requirements The successful candidate will possess a Bachelors degree in marketing, statistics, data analysis, related field, or equivalent experience. of experience in data analysis, market research, or a related field. Strong analytical skills, with the ability to interpret data and make data-driven decisions. Experience with marketing automation platforms and other data analytics tools. Excellent communication and collaboration skills, with the ability to effectively communicate findings and recommendations to stakeholders. Knowledge of A-B testing and statistical analysis. Attention to detail, with a focus on data hygiene and quality control. Familiarity with digital marketing channels such as search engine marketing, social media advertising, display advertising, and email marketing. A team and solo player. You need to be self-motivated and willing to collaborate with the rest of the marketing team on specific projects. Exemplifies humility, excellence, and trust. We pride ourselves on the culture we built and the team we have. We trust and support each other. Experience with Tableau Prep and Desktop.",tableau,service digital sale software data research analyze data optimize performance insight recommendation research data analysis data analysis market research communication skill recommendation analyze data pattern trend optimization market research trend analysis data insight recommendation data analysis market research optimize performance develop performance a-b testing optimize variable data data data data sale data-driven hybrid time hybrid life objective digital innovation service community financial communication communication degree statistic data analysis data analysis market research skill data data-driven decision data analytics communication skill recommendation a-b testing analysis data digital engine,company service company digital marketing solution business help company sale organization leverage software platform role marketing data research analyze data help drive marketing strategy optimize performance closely marketing team provide insight recommendation based research data analysis ideal candidate strong background data analysis market research excellent communication skill communicate finding recommendation stakeholder effectively responsibility analyze data various source identify pattern trend opportunity optimization conduct market research identify industry trend customer analysis data focus group source provide insight recommendation based data analysis market research marketing strategy optimize performance develop track performance communicate result stakeholder reporting assist a-b testing identify optimize audience creative variable ensure data quality control data source data accuracy data collaborate cross-functional team including marketing sale product ensure marketing initiative data-driven duty needed location information role preferred located office hybrid location open office set collaborate office include policy open plan team member time team member must access offer employee paid plan company paid leave program hybrid office life top team set build great great company team company business objective goal team way business best best growing company join team join team mission make digital solution youll result partner business technology innovation team member success well customer service every partner business way making community better requirement job opportunity want across industry take want financial information part process communication come activity please communication individual reporting team please u please requirement successful candidate bachelor degree marketing statistic data analysis related field equivalent experience experience data analysis market research related field strong analytical skill ability data make data-driven decision experience marketing platform data analytics tool excellent communication collaboration skill ability effectively communicate finding recommendation stakeholder knowledge a-b testing statistical analysis detail focus data quality control familiarity digital marketing engine marketing marketing team need collaborate marketing team specific project culture team support experience tableau,service digital sale software data research analyze data optimize performance insight recommendation research data analysis data analysis market research communication skill recommendation analyze data pattern trend optimization market research trend analysis data insight recommendation data analysis market research optimize performance develop performance a-b testing optimize variable data data data data sale data-driven hybrid time hybrid life objective digital innovation service community financial communication communication degree statistic data analysis data analysis market research skill data data-driven decision data analytics communication skill recommendation a-b testing analysis data digital engine,10,10_recommendation_market_operation_datadriven,recommendation market operation datadriven,True
Manager Data Science,"WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We're looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity Join us on a mission that matters - one team, fight. About the Role: CrowdStrike's Data Science team is expanding -- we are at the exciting intersection of Machine Learning, Artificial Intelligence, and Security and are looking to add a Data Science Manager specializing in machine learning to our growing team. You will have the opportunity to apply your coding, mathematical and scientific research skills to the bleeding edge of security technology. You'll be able to leverage large-scale rich data to meaningfully improve our supervised learning models and refine our identification of malicious computer software and behavioral threats. CrowdStrike's cybersecurity data is -of-a-kind: we process over 1 trillion behavioral events per day and have petabytes of malware samples in our research repository. We are a diverse and multidisciplinary team, and you'll have the chance to broaden your horizons by working jointly with a team of Big Data, Machine Learning, and Security domain experts on hard and impactful problems. CrowdStrike has always been industry pioneer in its use of Machine Learning and Artificial Intelligence: from our to market use of ML for malware classification, to our cutting-edge Generative AI powered natural-language interface, . What You'll Do: Build a team of machine learning practitioners that can balance detail-oriented research with goal-oriented business objectives Create predictive models using supervised learning techniques to detect and stop the most sophisticated threats Innovate new semi-supervised and online learning techniques to enhance our threat detection capabilities and reduce nuisance false positives for our customers. Work closely with domain experts to improve our raw data and to derive more value from data collected Implement and experiment with new algorithms and methodologies to help improve our machine learning models Automate and visualize analyses, results and processes in our machine learning pipeline What You'll Need: Undergraduate or post-graduate degree in a STEM field of post-undergraduate experience in data science, machine learning, or any field employing computational science or data driven analyses of direct management experience, or of 'dotted-line' leadership experience Programming experience in Python, Rust, R, or MatLab to match preference in that order must be comfortable and experienced working in a Linux environment in the AWS cloud and have an appreciation for the software development lifecycle and best practices An independent self-starter who likes to take ownership and independently seeks out new challenges someone who is thirsty for knowledge and do not hesitate to step outside of your comfort zone to learn new technologies, algorithms and concepts Experience working on very large data sets of sparse high dimensional data and experience in pre-processing and analyzing such data to gain actionable insights Passionate about cybersecurity, with a firm understanding of the problem space or passionate about applying your machine learning skillset to new domain areas such as cybersecurity Bonus if You Are: Versed in utilizing Machine Learning techniques for consumer software products, including the development of KPIs for managing product success. A security industry veteran, with experience building classifiers to identify malware or malicious websites Deep experience and knowledge of major modern operating systems and their software ecosystems including both Windows and MacOS LI-RC1 LI-RemotePaid parental leave, including adoption A variety of professional development and mentorship opportunities Offices with stocked kitchens when you need to fuel innovation and collaboration We are committed to fostering a culture of belonging where everyone feels seen, heard, valued for who they are and empowered to succeed. Our approach to cultivating a diverse, equitable, and inclusive culture is rooted in listening, learning and collective action. By embracing the diversity of our people, we achieve our best work and fuel innovation - generating the best possible outcomes for our customers and the communities they serve.CrowdStrike participates in the E-Verify program. Notice of E-Verify Participation",aws matlab pipeline python r,game market innovation future life data science machine learning artificial data science machine learning research skill edge large-scale data supervised learning model computer software threat data research data machine learning machine learning artificial market ml classification generative ai machine learning research objective predictive model supervised learning threat online learning threat detection data data algorithm methodology machine learning model analysis machine learning pipeline degree data science machine learning science data analysis management aws cloud software development algorithm data dimensional data data insight machine learning machine learning software development deep system software development innovation learning innovation community,mission global leader team game market leading platform looking people passion focus innovation customer join u future top committed inclusive offer people need life career level working company set standard lead join u mission - one team role data science team machine learning artificial intelligence looking data science manager machine learning growing team apply scientific research skill edge technology able leverage large-scale data improve supervised learning model computer software threat data process day research diverse team working team big data machine learning expert problem industry use machine learning artificial intelligence market use ml classification generative ai build team machine learning research business objective create predictive model using supervised learning technique threat new online learning technique threat detection capability customer closely expert improve data value data implement experiment new algorithm methodology help improve machine learning model analysis result process machine learning pipeline need degree field experience data science machine learning field science data analysis management experience leadership experience programming experience python r matlab must working aws cloud software development best practice like take independently new challenge knowledge learn new technology algorithm concept experience working large data set high dimensional data experience data actionable insight passionate understanding problem passionate applying machine learning new area machine learning technique software product including development product success industry experience building identify deep experience knowledge system software including leave including variety professional development opportunity office need innovation collaboration committed culture approach diverse inclusive culture learning diversity people achieve best innovation - best outcome customer community program,game market innovation future life data science machine learning artificial data science machine learning research skill edge large-scale data supervised learning model computer software threat data research data machine learning machine learning artificial market ml classification generative ai machine learning research objective predictive model supervised learning threat online learning threat detection data data algorithm methodology machine learning model analysis machine learning pipeline degree data science machine learning science data analysis management aws cloud software development algorithm data dimensional data data insight machine learning machine learning software development deep system software development innovation learning innovation community,6,6_azure_cloud_ml_game,azure cloud ml game,False
Revenue Operations Analyst,"Upgrade is a fintech company that provides affordable and responsible credit, mobile banking, and payment products to everyday consumers. We were the fastest growing company in the according to the Financial Times and Upgrade Card was the fastest growing credit card in . We have delivered over 25 billion in affordable and responsible credit to our M customers. The company is backed by some of the most prominent technology investors and was recently valued at We have built an energizing, collaborative and inclusive culture where team members help each other, learn and innovate to move the company and its customers in the right direction, and own the outcome of their efforts. Upgrade has been named a Best Place to Work in , Top Companies to work for in and of the Best Engineering Department awarded by Comparably. We've also received recognition for being a best company for Diversity, Women, Culture, and Veterans. We are looking for new team members who get excited about designing and delivering new and better products to join a team of talented and dedicated professionals. Come work with us if you like to tackle big problems and make a meaningful difference in people's lives. About the Role: The Revenue Operations Analyst will play a vital role in the advancement of Upgrade. Reporting to the Chief of Staff, the Revenue Operations Analyst is responsible for analyzing data trends, coordinating people and processes to ensure projects are delivered on time, and ensuring metrics are in place to measure implemented programs. You will be the go-to person for everything involving merchant product organization and timelines. What Youll Do: Analyze revenue data to detect trends to help drive revenue decision making within the organization Develop detailed project plans on behalf of the Sales, CS, and Operations teams Ensure resource availability so that projects are delivered on time, within budget, and on scope Coordinate internal resources and, if necessary, parties vendors for execution of projects Use appropriate verification techniques to manage changes in project scope, schedule, and costs Develop KPIs and measure project performance using appropriate systems, tools, and techniques Create and maintain comprehensive project and process documentation Help the maintenance of the data in the CRM to ensure accuracy of reporting What We Look For: BA-BS degree preferred or equivalent experience in similar role revenue operations or project management experience preferably in a similar industry or a SaaS organization Solid technical background with a focused knowledge of SQL, Tableau, and Microsoft Office Products Familiarity with software such as Smartsheet, Salesforce, and Outreach PMP PRINCE certification preferred Excellent written and verbal skills Owner attitude, self starter, comfortable operating independently Flexibility to prioritize, balance and respond to competing needs within a growing organization Experience operating in a fast-paced environment and comfortable prioritizing critical issues What We Offer You:Flexible PTO Opportunities for professional growth and development Paid parental leave Health wellness initiatives",saas sql tableau,credit financial time credit credit collaborative engineering recognition life revenue operation revenue operation data trend time measure analyze revenue data trend revenue decision develop sale operation resource time resource develop measure performance system data degree revenue operation management technical software skill growth development health,company responsible credit product growing company financial time growing credit responsible credit customer company technology collaborative inclusive culture team member help learn company customer right outcome effort best top company best engineering recognition best company diversity culture looking new team member get new better product join team professional come u like big problem make people life role revenue operation analyst role reporting revenue operation analyst responsible data trend people process ensure project time metric measure program product organization youll analyze revenue data trend help drive revenue decision making within organization develop project plan sale operation team ensure resource project time within internal resource project use technique manage change project develop measure project performance using system tool technique create maintain project process documentation help data ensure accuracy reporting degree preferred equivalent experience role revenue operation project management experience industry saas organization technical background focused knowledge sql tableau office product familiarity software preferred excellent written verbal skill independently need within growing organization experience fast-paced critical issue offer flexible opportunity professional growth development paid leave health initiative,credit financial time credit credit collaborative engineering recognition life revenue operation revenue operation data trend time measure analyze revenue data trend revenue decision develop sale operation resource time resource develop measure performance system data degree revenue operation management technical software skill growth development health,-1,-1_network_management_forecasting_algorithm,network management forecasting algorithm,False
